"INCIDENT INFO","DESCRIPTION","START_DT","MODIFIED_DT","QUADRANT","Longitude","Latitude","location","Count"
"9 Avenue and 85 Street SW","Two vehicle incident.","2017 Jul 13 09:24:30 AM","2017 Jul 13 09:25:46 AM","SW","-114.2114014666","51.05970278267","(51.05970278267, -114.211401466602)","1"
"Southbound Deerfoot Trail approaching 17 Avenue SE","Two vehicle incident.","2017 Jul 13 08:17:39 AM","2017 Jul 13 08:24:37 AM","NW","-114.00835872221","51.04234588515","(51.042345885153, -114.008358722207)","1"
"Northbound Crowchild Trail approaching Kensington Road NW","Stalled vehicle. Blocking the right lane.","2017 Jul 13 08:15:25 AM","2017 Jul 13 08:24:37 AM","NW","-114.11850138363","51.05249233351","(51.052492333505, -114.11850138363)","1"
"Eastbound Glenmore Trail at Crowchild Trail SW","Two vehicle incident.","2017 Jul 13 07:43:52 AM","2017 Jul 13 08:24:37 AM","SW","-114.11089308289","50.99866979874","(50.998669798739, -114.11089308289)","1"
"Blackfoot Trail and 58 Avenue SE","Single vehicle incident.  Blocking the two right lanes NB","2017 Jul 13 07:32:21 AM","2017 Jul 13 08:24:37 AM","SE","-114.04929257898","51.00145832076","(51.001458320763, -114.049292578978)","1"
"Westbound 32 Avenue at 9 Street NE","Two vehicle incident.  Blocking the right lane","2017 Jul 12 11:06:36 PM","2017 Jul 12 11:12:49 PM","NE","-114.04153196279","51.08143171449","(51.081431714492, -114.041531962791)","1"
"Westbound Anderson Road at Woodpark Boulevard SW","Two vehicle incident.","2017 Jul 12 07:33:24 PM","2017 Jul 12 07:38:27 PM","SW","-114.10906531869","50.95030669205","(50.950306692047, -114.109065318686)","1"
"Bonaventure Drive and Anderson Road SE","Two vehicle incident.","2017 Jul 12 05:20:05 PM","2017 Jul 12 05:21:26 PM","SE","-114.06203932939","50.94978322626","(50.949783226261, -114.062039329389)","1"
"14 Avenue and 5 Street SE","Two vehicle incident.","2017 Jul 12 05:09:56 PM","2017 Jul 12 05:21:26 PM","SE","-114.0511888297","51.03918883515","(51.039188835147, -114.051188829697)","1"
"Northbound 37 Street and 44 Avenue SW","Two vehicle incident.","2017 Jul 12 04:43:17 PM","2017 Jul 12 04:44:09 PM","SW","-114.14115694002","51.01664965012","(51.016649650124, -114.141156940024)","1"
"Centre Street and 40 Avenue NW","Two vehicle incident.","2017 Jul 12 04:09:41 PM","2017 Jul 12 04:11:06 PM","NW","-114.0624337331","51.08874046318","(51.088740463177, -114.062433733103)","1"
"Southbound Deerfoot Trail and 17 Avenue SE","Two vehicle incident. On the off ramp","2017 Jul 12 02:49:57 PM","2017 Jul 12 02:53:11 PM","NW","-114.00861199153","51.03703508745","(51.037035087454, -114.008611991531)","1"
"Macleod Trail and 13 Avenue SE","Two vehicle incident. In the right lane.","2017 Jul 12 02:34:46 PM","2017 Jul 12 02:53:11 PM","SE","-114.05847673987","51.04034563201","(51.040345632013, -114.058476739867)","1"
"15A Street and 38 Avenue SE","There is an incident involving a pedestrian.","2017 Jul 12 02:19:34 PM","2017 Jul 12 02:21:50 PM","SE","-114.02364986205","51.02015716818","(51.020157168182, -114.023649862054)","1"
"Southbound Deerfoot Trail at Calfrobe Bridge SE","Multi-vehicle incident.  the left lane is blocked","2017 Jul 12 01:59:19 PM","2017 Jul 12 02:21:50 PM","SE","-114.019987396","51.0085702951","(51.008570295104, -114.019987395998)","1"
"Eastbound Glenmore Trail at Crowchild Trail SW","Two vehicle incident.","2017 Jul 12 11:34:48 AM","2017 Jul 12 11:42:45 AM","SW","-114.12107128943","51.00099713475","(51.000997134752, -114.121071289426)","1"
"Country Hills Road and Country Hills Drive NW","Two vehicle incident.","2017 Jul 12 10:47:39 AM","2017 Jul 12 10:47:50 AM","NW","-114.07294692848","51.14551777734","(51.145517777342, -114.072946928481)","1"
"Northbound Deerfoot Trail past Glenmore Trail SE","Two vehicle incident. Blocking the left lane.","2017 Jul 12 08:40:21 AM","2017 Jul 12 08:55:47 AM","SE","-114.03445503767","50.99310797247","(50.993107972469, -114.034455037669)","1"
"Southbound Deerfoot Trail at Memorial Drive SE","Stalled vehicle. Blocking the right lane.","2017 Jul 12 08:18:24 AM","2017 Jul 12 08:19:06 AM","SE","-114.01943425564","51.04885987642","(51.048859876417, -114.019434255636)","1"
"Eastbound Glenmore Trail at Richard Road SW","Two vehicle incident.","2017 Jul 12 08:04:35 AM","2017 Jul 12 08:19:06 AM","SW","-114.13234182159","51.00389527149","(51.003895271487, -114.13234182159)","1"
"Southbound Deerfoot Trail approaching Peigan Trail SE","Single vehicle incident. Blocking the left lane.","2017 Jul 12 07:48:58 AM","2017 Jul 12 07:49:39 AM","SE","-114.00525624055","51.01500137989","(51.01500137989, -114.005256240554)","1"
"Northbound 14 Street approaching Heritage Drive SW","Stalled vehicle. Blocking the right lane.","2017 Jul 12 07:39:07 AM","2017 Jul 12 07:49:39 AM","SW","-114.09566901217","50.97963094753","(50.979630947534, -114.095669012174)","1"
"4 Street and 42 Avenue NW","There is an incident involving a pedestrian.","2017 Jul 12 07:34:15 AM","2017 Jul 12 07:49:39 AM","NW","-114.07160288518","51.09059193278","(51.090591932781, -114.071602885177)","1"
"Northbound Deerfoot Trail approaching Beddington Trail NE","Two vehicle incident.","2017 Jul 12 07:33:18 AM","2017 Jul 12 07:49:39 AM","NE","-114.04615450152","51.12216566017","(51.122165660174, -114.046154501515)","1"
