"INCIDENT INFO","DESCRIPTION","START_DT","MODIFIED_DT","QUADRANT","Longitude","Latitude","location","Count"
"Eastbound Mcknight Boulevard and Centre Street N","Multi-vehicle incident. Blocking two left lanes","2018 Jan 19 02:18:20 PM","2018 Jan 19 02:25:40 PM","NE","-114.06242751569","51.09610335796","(51.096103357957, -114.062427515694)","1"
"68 Street and 64 Avenue NE","Two vehicle incident.","2018 Jan 19 12:13:48 PM","2018 Jan 19 12:14:50 PM","NE","-113.93513492255","51.11069689717","(51.110696897166, -113.935134922553)","1"
"Eastbound Memorial Drive and Edmonton Trail NE","Multi-vehicle incident.","2018 Jan 19 11:54:25 AM","2018 Jan 19 11:55:18 AM","NE","-114.05033553746","51.05060185225","(51.050601852248, -114.050335537459)","1"
"Southbound Deerfoot Trail at Memorial Drive SE","Multi-vehicle incident.","2018 Jan 19 08:57:56 AM","2018 Jan 19 08:59:33 AM","NE","-114.01943425564","51.04885987642","(51.048859876417, -114.019434255636)","1"
"Southbound Crowchild Trail at 5 Avenue NW","Two vehicle incident.","2018 Jan 19 08:54:31 AM","2018 Jan 19 08:59:33 AM","NW","-114.11846822707","51.05721799396","(51.057217993961, -114.118468227069)","1"
"Southbound 52 Street at 61 Avenue SE","Multi-vehicle incident.","2018 Jan 19 08:35:23 AM","2018 Jan 19 08:36:42 AM","SE","-113.95905579498","50.99903906247","(50.999039062469, -113.959055794978)","1"
"Cranston Avenue and Cranberry Road SE","Multi-vehicle incident.","2018 Jan 19 08:00:27 AM","2018 Jan 19 08:02:42 AM","SE","-113.97653163401","50.87930573941","(50.879305739413, -113.976531634013)","1"
"Eastbound Stoney Trail and Chaparral Boulevard SE","Single vehicle incident.","2018 Jan 19 06:42:12 AM","2018 Jan 19 06:43:21 AM","SE","-114.02565149329","50.8889424507","(50.888942450703, -114.025651493291)","1"
"Deerfoot Trail and Mcknight Boulevard NE","Single vehicle incident.","2018 Jan 19 04:49:15 AM","2018 Jan 19 04:49:59 AM","NE","-114.04781392799","51.09614755415","(51.096147554151, -114.047813927993)","1"
"Westbound Memorial Drive and Centre Street NW","Two vehicle incident. blocking the right lane","2018 Jan 18 08:25:12 PM","2018 Jan 18 08:26:54 PM","NW","-114.0624120611","51.05375034158","(51.053750341578, -114.062412061101)","1"
"Southbound Deerfoot Trail and Glenmore Trail SE","Two vehicle incident.","2018 Jan 18 06:54:08 PM","2018 Jan 18 06:55:29 PM","SE","-114.03917308623","50.99415667572","(50.994156675722, -114.039173086226)","1"
"4 Street and Mcknight Boulevard NW","Two vehicle incident.","2018 Jan 18 06:48:52 PM","2018 Jan 18 06:55:29 PM","NW","-114.07151064755","51.09557531721","(51.095575317209, -114.071510647547)","1"
"Anderson Road and 37 Street SW","Two vehicle incident.","2018 Jan 18 06:17:23 PM","2018 Jan 18 06:18:01 PM","NW","-114.14030713384","50.94890777602","(50.948907776015, -114.140307133836)","1"
"Southbound Nose Hill Drive and John Laurie Boulevard NW","Two vehicle incident.  blocking the right lane","2018 Jan 18 06:05:56 PM","2018 Jan 18 06:14:49 PM","NW","-114.19489514518","51.12742034632","(51.127420346322, -114.194895145176)","1"
"Eastbound 64 Avenue at Deerfoot Trail NE","Two vehicle incident. blocking the left lane","2018 Jan 18 05:57:04 PM","2018 Jan 18 05:59:34 PM","NE","-114.04923256354","51.11065211401","(51.11065211401, -114.049232563541)","1"
"Glenmore Trail and 45 Street SW","Two vehicle incident.","2018 Jan 18 04:22:35 PM","2018 Jan 18 04:23:08 PM","NW","-114.15364952513","51.00887929944","(51.00887929944, -114.153649525131)","1"
"Sarcee Trail and Bow Trail SW","Two vehicle incident.","2018 Jan 18 04:15:57 PM","2018 Jan 18 04:23:08 PM","NW","-114.16547691142","51.05336966153","(51.053369661528, -114.165476911424)","1"
"Eastbound 16 Avenue and 19 Street NE","Multi-vehicle incident.","2018 Jan 18 03:49:25 PM","2018 Jan 18 03:50:12 PM","NE","-114.01402450449","51.06703731032","(51.067037310319, -114.01402450449)","1"
"Northbound Deerfoot Trail and Beddington Trail NE","Two vehicle incident. blocking the right lane","2018 Jan 18 03:42:28 PM","2018 Jan 18 03:43:51 PM","NE","-114.04615450152","51.12216566017","(51.122165660174, -114.046154501515)","1"
"Eastbound 16 Avenue and Deerfoot Trail NE","Multi-vehicle incident.","2018 Jan 18 03:36:29 PM","2018 Jan 18 03:43:51 PM","NE","-114.02855129252","51.06737986934","(51.067379869342, -114.028551292521)","1"
"Southbound Deerfoot Trail south of Peigan Trail SE","Single vehicle incident.","2018 Jan 18 02:41:37 PM","2018 Jan 18 02:43:25 PM","NW","-114.01946744161","51.00825654934","(51.008256549342, -114.019467441606)","1"
"Westbound Glenmore Trail approaching Macleod Trail SE","Two vehicle incident. Blocking the right lane","2018 Jan 18 02:36:45 PM","2018 Jan 18 02:43:25 PM","NW","-114.07203700315","50.99442763003","(50.994427630029, -114.072037003149)","1"
"Westbound Memorial Drive and Deerfoot Trail NE","Two vehicle incident. Blocking the right lane","2018 Jan 18 01:00:01 PM","2018 Jan 18 01:03:52 PM","NE","-114.01856937345","51.04840091166","(51.048400911659, -114.018569373452)","1"
"Northbound 52 Street and Rundlehorn Drive NE","Two vehicle incident.","2018 Jan 18 12:54:35 PM","2018 Jan 18 12:55:55 PM","NW","-113.95830969619","51.07150003454","(51.071500034538, -113.95830969619)","1"
"Northbound 69 Street and 34 Avenue SW","Two vehicle incident.","2018 Jan 18 12:21:37 PM","2018 Jan 18 12:23:46 PM","SW","-114.18747564465","51.02274224915","(51.022742249151, -114.187475644648)","1"
"4 Street and 10 Avenue SW","Two vehicle incident.","2018 Jan 18 01:12:31 AM","2018 Jan 18 01:13:25 AM","SW","-114.07151195888","51.0435574288","(51.043557428803, -114.071511958878)","1"
"Westbound 16 Avenue and 14 Street NW","Two vehicle incident.","2018 Jan 17 09:18:45 PM","2018 Jan 17 09:21:50 PM","NW","-114.0960372279","51.06701776054","(51.067017760542, -114.096037227896)","1"
"Northbound Metis Trail and 104 Avenue NE","Single vehicle incident.","2018 Jan 17 06:30:05 PM","2018 Jan 17 06:30:56 PM","NE","-113.97091779872","51.14726901984","(51.147269019837, -113.970917798716)","1"
"36 Street and 16 Avenue SE","Single vehicle incident.","2018 Jan 17 05:59:27 PM","2018 Jan 17 06:00:14 PM","NW","-113.98165096313","51.03939539009","(51.039395390095, -113.981650963132)","1"
"Southbound Crowchild Trail and Kensington Road NW","Two vehicle incident. Blocking two left lanes","2018 Jan 17 03:10:41 PM","2018 Jan 17 03:13:03 PM","NW","-114.11850138363","51.05249233351","(51.052492333505, -114.11850138363)","1"
"Northbound 52 Street at Glenmore Trail SE","Stalled vehicle. Blocking the left lane","2018 Jan 17 01:13:31 PM","2018 Jan 17 01:18:37 PM","SE","-113.95834871558","50.98123654566","(50.981236545655, -113.958348715578)","1"
"Southbound Macleod Trail and James Mckevitt Road SW","Single vehicle incident.","2018 Jan 17 12:25:05 PM","2018 Jan 17 12:28:22 PM","SW","-114.07240423977","50.921607309","(50.921607309004, -114.072404239772)","1"
"Westbound 26 Avenue @ 52 Street NE","Two vehicle incident.","2018 Jan 17 12:19:42 PM","2018 Jan 17 12:21:22 PM","NW","-113.95850372592","51.07631641903","(51.076316419035, -113.958503725915)","1"
"Eastbound 9 Avenue and 2 Street SW","Two vehicle incident.","2018 Jan 17 11:30:00 AM","2018 Jan 17 11:31:39 AM","SW","-114.06803491364","51.04475028485","(51.044750284846, -114.068034913643)","1"
"9 Avenue and 2 Street SW","Two vehicle incident.  The road is closed eastbound","2018 Jan 17 11:30:00 AM","2018 Jan 17 11:52:46 AM","SW","-114.06803491364","51.04475028485","(51.044750284846, -114.068034913643)","1"
"Northbound Elbow Drive at Glenmore Trail SW","Stalled vehicle.","2018 Jan 17 08:59:44 AM","2018 Jan 17 09:04:03 AM","SW","-114.08391601452","50.99462772614","(50.994627726143, -114.083916014515)","1"
"Northbound Deerfoot Trail north of Glenmore Trail SE","Multi-vehicle incident.","2018 Jan 17 07:59:57 AM","2018 Jan 17 08:05:58 AM","SE","-114.03917308623","50.99415667572","(50.994156675722, -114.039173086226)","1"
"14 Avenue and 14 Street SW","Two vehicle incident.","2018 Jan 17 07:55:15 AM","2018 Jan 17 07:55:57 AM","SW","-114.09471000421","51.04041493064","(51.040414930642, -114.094710004209)","1"
"Westbound Glenmore Trail west of Deerfoot Trail SE","Stalled vehicle.","2018 Jan 17 07:11:14 AM","2018 Jan 17 07:14:55 AM","SE","-114.03917308623","50.99415667572","(50.994156675722, -114.039173086226)","1"
"Westbound Mcknight Boulevard and Stoney Trail NE","Two vehicle incident.","2018 Jan 17 06:53:20 AM","2018 Jan 17 06:54:21 AM","NE","-113.9264906941","51.09637406718","(51.096374067183, -113.926490694095)","1"
"Glenmore Trail at Sarcee Trail SW","Traffic signals are flashing red. Crews have been dispatched.","2018 Jan 17 06:26:31 AM","2018 Jan 17 06:28:31 AM","SW","-114.16379212955","51.00940374119","(51.009403741186, -114.163792129551)","1"
"Richardson Way and 37 Street SW","Two vehicle incident.","2018 Jan 16 07:31:17 PM","2018 Jan 16 07:32:03 PM","SW","-114.14114790207","51.01240495406","(51.012404954056, -114.141147902069)","1"
"Southbound Deerfoot Trail at Southland Drive SE","Two vehicle incident. Blocking the left lane.","2018 Jan 16 06:21:04 PM","2018 Jan 16 06:22:35 PM","SE","-114.03328977033","50.96695949182","(50.966959491825, -114.033289770329)","1"
"Northbound 52 Street at 26 Avenue NE","Two vehicle incident. Blocking the left lane.","2018 Jan 16 06:12:11 PM","2018 Jan 16 06:14:04 PM","NE","-113.95850372592","51.07631641903","(51.076316419035, -113.958503725915)","1"
"Eastbound Bow Trail approaching Sarcee Trail SW","Two vehicle incident.","2018 Jan 16 04:37:52 PM","2018 Jan 16 04:39:32 PM","NW","-114.16732916131","51.05377066337","(51.053770663372, -114.167329161311)","1"
"Westbound 11 Avenue at 9 Street SW","Two vehicle incident.","2018 Jan 16 04:28:58 PM","2018 Jan 16 04:31:52 PM","SW","-114.0839232988","51.04295783101","(51.042957831013, -114.083923298796)","1"
"Northbound Sarcee Trail at 17 Avenue SW","Two vehicle incident.","2018 Jan 16 04:06:10 PM","2018 Jan 16 04:13:04 PM","SW","-114.16425282608","51.03945500372","(51.039455003724, -114.164252826083)","1"
"Eastbound Glenmore Trail at 14 Street SW","Multi-vehicle incident. Blocking the middle lane.","2018 Jan 16 04:03:22 PM","2018 Jan 16 04:04:35 PM","SW","-114.09933928981","50.99519196736","(50.995191967362, -114.099339289806)","1"
"Deerfoot Trail and 16 Avenue NE","Two vehicle incident.","2018 Jan 16 03:50:51 PM","2018 Jan 16 03:54:17 PM","NE","-114.02573492059","51.06798355221","(51.067983552205, -114.025734920593)","1"
"60 Street and 17 Avenue SE","Two vehicle incident.","2018 Jan 16 03:33:10 PM","2018 Jan 16 03:34:44 PM","SE","-113.94696352785","51.03791425457","(51.037914254566, -113.94696352785)","1"
"5 Avenue and Crowchild Trail NW","Multi-vehicle incident.","2018 Jan 16 03:09:42 PM","2018 Jan 16 03:12:20 PM","NW","-114.11846822707","51.05721799396","(51.057217993961, -114.118468227069)","1"
"Southbound Deerfoot Trail at Glenmore Trail SE","Two vehicle incident.   Blocking the right lane","2018 Jan 16 02:38:23 PM","2018 Jan 16 02:57:14 PM","SE","-114.03917308623","50.99415667572","(50.994156675722, -114.039173086226)","1"
"Southbound Deerfoot Trail @ Glenmore Trail SE","Two vehicle incident. Blocking the right lane","2018 Jan 16 02:38:23 PM","2018 Jan 16 02:43:38 PM","NW","-114.03917308623","50.99415667572","(50.994156675722, -114.039173086226)","1"
"Northbound Deerfoot Trail at 17 Avenue SE","Multi-vehicle incident. Blocking the right lane.","2018 Jan 16 02:30:02 PM","2018 Jan 16 02:34:50 PM","SE","-114.00682239149","51.0406103362","(51.040610336197, -114.006822391493)","1"
"Southbound Crowchild Trail at 16 Avenue NW","Two vehicle incident.","2018 Jan 16 02:25:15 PM","2018 Jan 16 02:34:50 PM","NW","-114.11807069204","51.06703893532","(51.067038935321, -114.118070692039)","1"
"Eastbound 16 Avenue and Crowchild Trail NW","Multi-vehicle incident.","2018 Jan 16 12:56:37 PM","2018 Jan 16 12:58:01 PM","NW","-114.11914215713","51.06708549363","(51.067085493629, -114.119142157127)","1"
"17 Avenue and 5A Street SW","Two vehicle incident.","2018 Jan 16 12:29:31 PM","2018 Jan 16 12:30:28 PM","NW","-114.07556780142","51.0378210403","(51.037821040304, -114.075567801419)","1"
"Southbound Macleod Trail and Canyon Meadows Drive SE","Multi-vehicle incident.","2018 Jan 16 10:06:57 AM","2018 Jan 16 10:08:22 AM","SE","-114.06868079381","50.93115909825","(50.931159098247, -114.068680793809)","1"
"Eastbound John Laurie Boulevard and Brisebois Drive NW","Two vehicle incident.","2018 Jan 16 09:26:26 AM","2018 Jan 16 09:28:30 AM","NW","-114.12811701552","51.10248993093","(51.102489930933, -114.128117015521)","1"
"Southbound Elbow Drive and 75 Avenue SW","Two vehicle incident.","2018 Jan 16 08:46:26 AM","2018 Jan 16 08:47:24 AM","SW","-114.08313267326","50.98601954541","(50.986019545406, -114.083132673256)","1"
"Westbound Glenmore west of 14 Street SW","Stalled vehicle.","2018 Jan 16 08:11:22 AM","2018 Jan 16 08:13:06 AM","SW","-114.10159581804","50.99638926784","(50.996389267837, -114.101595818037)","1"
"Westbound Glenmore Trail west of 14 Street SW","Stalled vehicle. Blocking the middle lane.","2018 Jan 16 08:11:22 AM","2018 Jan 16 09:40:18 AM","SW","-114.10159581804","50.99638926784","(50.996389267837, -114.101595818037)","1"
"Westbound 114 Avenue and 52 Street SE","Two vehicle incident.","2018 Jan 16 08:01:36 AM","2018 Jan 16 08:02:48 AM","SE","-113.95867084745","50.95059536696","(50.950595366959, -113.958670847449)","1"
"Country Hills Boulevard and Edgepark Boulevard NW","Two vehicle incident.","2018 Jan 16 06:15:09 AM","2018 Jan 16 06:16:17 AM","NW","-114.15709497136","51.13848392047","(51.138483920469, -114.157094971361)","1"
"130 Avenue and 50 Street SE","Two vehicle incident.","2018 Jan 15 11:30:32 PM","2018 Jan 15 11:32:02 PM","SE","-113.96254645858","50.93199047128","(50.931990471284, -113.962546458577)","1"
"Northbound Deerfoot Trail at Seton Boulevard SE","Single vehicle incident.","2018 Jan 15 08:22:16 PM","2018 Jan 15 08:24:35 PM","NW","-113.96307835888","50.8761042497","(50.876104249702, -113.963078358882)","1"
"Harvest Hills Boulevard and Panamount Boulevard NW","Two vehicle incident.","2018 Jan 15 08:10:02 PM","2018 Jan 15 08:15:52 PM","NW","-114.071490787","51.160157198","(51.160157198001, -114.071490787004)","1"
"Eastbound Glenmore Trail approaching Blackfoot Trail SE","Two vehicle incident.","2018 Jan 15 07:35:35 PM","2018 Jan 15 07:45:12 PM","SE","-114.06063542323","50.99377020595","(50.993770205948, -114.060635423228)","1"
"Northbound Deerfoot Trail on the Calf Robe Bridge SE","Two vehicle incident.","2018 Jan 15 06:15:26 PM","2018 Jan 15 06:16:36 PM","SE","-114.01822722385","51.0083929447","(51.008392944699, -114.018227223849)","1"
"144 Avenue and Shaganappi Trail NW","Multi-vehicle incident.","2018 Jan 15 05:52:39 PM","2018 Jan 15 05:53:12 PM","NW","-114.16186118572","51.18312299872","(51.183122998722, -114.161861185721)","1"
"Bowness Road at Point Drive NW","Single vehicle incident.","2018 Jan 15 05:46:00 PM","2018 Jan 15 05:53:12 PM","NW","-114.14636528176","51.06220472049","(51.062204720495, -114.146365281757)","1"
"Country Hills Boulevard and Edgepark Boulevard NW","Multi-vehicle incident.","2018 Jan 15 04:22:06 PM","2018 Jan 15 04:32:24 PM","NW","-114.15709497136","51.13848392047","(51.138483920469, -114.157094971361)","1"
"Southbound Blackfoot Trail at 34 Avenue SE","Stalled vehicle. Blocking the right lane.","2018 Jan 15 03:56:04 PM","2018 Jan 15 03:58:09 PM","SE","-114.04517295507","51.02434212993","(51.024342129931, -114.045172955065)","1"
"Northbound Deerfoot Trail at Southland Drive SE","Single vehicle incident. Blocking the middle lane.","2018 Jan 15 03:40:06 PM","2018 Jan 15 03:42:14 PM","SE","-114.03622195779","50.97058953028","(50.970589530278, -114.036221957794)","1"
"Southbound Deerfoot Trail approaching Glenmore Trail SE","Multi-vehicle incident. Blocking the right lane.","2018 Jan 15 03:05:20 PM","2018 Jan 15 03:06:57 PM","SE","-114.03462301394","50.99659435114","(50.996594351141, -114.034623013944)","1"
"11 Street and 58 Avenue SE","Two vehicle incident.","2018 Jan 15 01:51:01 PM","2018 Jan 15 01:54:50 PM","SE","-114.03728386681","51.00176168071","(51.001761680705, -114.037283866809)","1"
"Uxbridge Drive and 16 Avenue NW","Two vehicle incident.","2018 Jan 15 11:49:29 AM","2018 Jan 15 11:50:20 AM","NW","-114.12985107866","51.06857150339","(51.068571503386, -114.129851078655)","1"
"Southbound 28 Street and Memorial Drive SE","Two vehicle incident.","2018 Jan 15 11:29:11 AM","2018 Jan 15 11:30:32 AM","SE","-113.99177558435","51.04891091593","(51.04891091593, -113.991775584347)","1"
"5 Street and 4 Avenue SW","Two vehicle incident.","2018 Jan 15 10:10:42 AM","2018 Jan 15 10:11:16 AM","SW","-114.07357506393","51.04963437558","(51.049634375581, -114.07357506393)","1"
"Southbound Shaganappi Trail at John Laurie Boulevard NW","Two vehicle incident.","2018 Jan 15 08:15:36 AM","2018 Jan 15 08:24:22 AM","NW","-114.1422453949","51.11008863465","(51.110088634654, -114.142245394896)","1"
"Eastbound Memorial Drive onto Southbound Deerfoot Trail NE","Two vehicle incident.","2018 Jan 15 08:06:08 AM","2018 Jan 15 08:10:12 AM","NE","-114.01913312801","51.05356271996","(51.053562719957, -114.019133128011)","1"
"Eastbound Glenmore Trail onto Northbound Deerfoot Trail SE","Two vehicle incident.","2018 Jan 15 07:52:42 AM","2018 Jan 15 07:55:16 AM","SE","-114.03917308623","50.99415667572","(50.994156675722, -114.039173086226)","1"
"Heritage Drive and 77 Avenue SE","Two vehicle incident.","2018 Jan 15 07:50:04 AM","2018 Jan 15 07:55:16 AM","SE","-114.04909993096","50.98442585106","(50.984425851064, -114.049099930957)","1"
"Westbound 16 Avenue at 52 Street NE","Two vehicle incident.","2018 Jan 15 07:08:12 AM","2018 Jan 15 07:12:08 AM","NE","-113.9633108372","51.06710440157","(51.067104401567, -113.963310837195)","1"
"Marbank Drive and Marlyn Wy NE","Single vehicle incident.","2018 Jan 15 01:58:50 AM","2018 Jan 15 01:58:59 AM","NW","-113.97667616392","51.06320917848","(51.063209178481, -113.976676163915)","1"
"Eastbound Anderson Road and Deerfoot Trail SE","Single vehicle incident.","2018 Jan 15 12:56:44 AM","2018 Jan 15 12:59:05 AM","SE","-114.03391231688","50.94834192518","(50.948341925178, -114.033912316884)","1"
"64 Avenue at Deerfoot Trail NE","Multi-vehicle incident.  EB 64 Ave is closed and WB 64 Ave is reduced to one lane","2018 Jan 14 09:25:13 PM","2018 Jan 14 09:29:17 PM","NE","-114.0480369053","51.11059345951","(51.110593459509, -114.048036905299)","1"
"Northbound 52 Street at Marbank Drive NE","Two vehicle incident.","2018 Jan 14 07:52:22 PM","2018 Jan 14 07:54:39 PM","NE","-113.95831199414","51.06211218217","(51.062112182172, -113.958311994142)","1"
"Southbound Macleod Trail at 71 Avenue SW","Two vehicle incident. Blocking two right lanes.","2018 Jan 14 07:03:14 PM","2018 Jan 14 07:07:40 PM","SW","-114.07204438708","50.98962805258","(50.989628052584, -114.072044387077)","1"
"11 Avenue and 8 Street SW","Two vehicle incident. In the intersection","2018 Jan 14 05:50:34 PM","2018 Jan 14 05:52:18 PM","SW","-114.08146274173","51.04288828328","(51.042888283282, -114.081462741725)","1"
"Westbound Canyon Meadows Drive at Lake Fraser Drive SE","Two vehicle incident. Blocking the right lane.","2018 Jan 14 05:46:47 PM","2018 Jan 14 05:52:18 PM","SE","-114.06643668247","50.93057389474","(50.93057389474, -114.066436682472)","1"
"40 Avenue and 36 Street NW","Two vehicle incident. In the intersection.","2018 Jan 14 04:01:14 PM","2018 Jan 14 04:01:59 PM","NW","-114.13892474788","51.08723894561","(51.087238945607, -114.138924747878)","1"
"Northbound 44 Street at 16 Avenue SE","Two vehicle incident.","2018 Jan 14 03:51:16 PM","2018 Jan 14 03:52:32 PM","SE","-113.97001220761","51.03939307322","(51.039393073221, -113.970012207609)","1"
"85 Street and Val Gardena Boulevard SW","There is an incident involving a pedestrian.","2018 Jan 14 02:59:44 PM","2018 Jan 14 03:01:11 PM","NW","-114.21146017238","51.03337747265","(51.033377472647, -114.211460172381)","1"
"24 Street at Southland Drive SW","Two vehicle incident.","2018 Jan 14 02:50:53 PM","2018 Jan 14 02:55:04 PM","NW","-114.11797581686","50.96082634367","(50.960826343669, -114.117975816859)","1"
"Berkley Gate at 14 Street NW","Two vehicle incident.","2018 Jan 14 02:19:07 PM","2018 Jan 14 02:19:54 PM","NW","-114.09878336145","51.1257454341","(51.125745434096, -114.09878336145)","1"
"Northbound Stoney Trail at Country Hills Boulevard NE","Single vehicle incident.","2018 Jan 14 01:10:44 PM","2018 Jan 14 01:15:51 PM","NE","-113.92889956455","51.15434793241","(51.154347932408, -113.928899564551)","1"
"11 Avenue and 11 Street SW","Two vehicle incident. blocking the left lane","2018 Jan 14 10:41:09 AM","2018 Jan 14 10:42:35 AM","SW","-114.08884258155","51.04309704216","(51.043097042162, -114.088842581545)","1"
"24 Avenue at Crowchild Trail NW","Single vehicle incident.","2018 Jan 14 03:03:53 AM","2018 Jan 14 03:05:06 AM","NW","-114.11944484223","51.07443030647","(51.074430306474, -114.119444842227)","1"
"52 Street and Rundlehorn Drive NE","Two vehicle incident.","2018 Jan 13 07:00:35 PM","2018 Jan 13 07:01:30 PM","NE","-113.95850388194","51.07167450365","(51.071674503652, -113.958503881939)","1"
"Glenmore Trail and Elbow Drive SW","Two vehicle incident.","2018 Jan 13 06:47:14 PM","2018 Jan 13 06:55:45 PM","SW","-114.08391601452","50.99462772614","(50.994627726143, -114.083916014515)","1"
"Centre Street and Northmount Drive NW","Single vehicle incident.","2018 Jan 13 05:54:37 PM","2018 Jan 13 05:58:41 PM","NW","-114.06244018652","51.1026489848","(51.102648984796, -114.062440186523)","1"
"Harvest Hills Boulevard at 96 Avenue NE","Two vehicle incident.","2018 Jan 13 05:53:19 PM","2018 Jan 13 05:54:25 PM","NE","-114.0693214551","51.14248842577","(51.142488425771, -114.069321455103)","1"
"Shawville Boulevard at 162 Avenue SE","Two vehicle incident.","2018 Jan 13 05:49:30 PM","2018 Jan 13 05:54:25 PM","SE","-114.06614612209","50.90413961593","(50.904139615928, -114.066146122092)","1"
"Eastbound 16 Avenue at 36 Street NE","Two vehicle incident. Blocking the right lane.","2018 Jan 13 03:01:20 PM","2018 Jan 13 03:03:46 PM","NE","-113.98661445191","51.06683394835","(51.066833948346, -113.986614451906)","1"
"Southbound Deerfoot Trail approaching Glenmore Trail SE","Two vehicle incident.","2018 Jan 13 02:59:03 PM","2018 Jan 13 03:03:46 PM","SE","-114.03379787084","50.99793623151","(50.997936231514, -114.033797870843)","1"
"14 Street and 75 Avenue SW","Multi-vehicle incident. Blocking the right lane.","2018 Jan 13 02:05:16 PM","2018 Jan 13 02:08:45 PM","NW","-114.09497499619","50.98867186599","(50.988671865985, -114.094974996191)","1"
"Southbound Crowchild Trail at Glenmore Trail SW","Two vehicle incident. blocking the right lane","2018 Jan 13 12:55:12 PM","2018 Jan 13 12:56:55 PM","SW","-114.12107128943","51.00099713475","(51.000997134752, -114.121071289426)","1"
"Northbound Deerfoot Trail past Southland Drive SE","Two vehicle incident.","2018 Jan 13 12:46:33 PM","2018 Jan 13 12:48:53 PM","SE","-114.03726113471","50.97141896635","(50.971418966351, -114.037261134705)","1"
"8 Street and 11 Avenue SW","Two vehicle incident.","2018 Jan 13 12:42:51 PM","2018 Jan 13 12:44:02 PM","SW","-114.08146274173","51.04288828328","(51.042888283282, -114.081462741725)","1"
"Northbound Macleod Trail at Heritage Drive S","Single vehicle incident. blocking the left lane","2018 Jan 13 11:59:58 AM","2018 Jan 13 12:01:51 PM","SE","-114.07252319615","50.9796225278","(50.979622527797, -114.072523196148)","1"
"Northbound Stoney Trail at 22X Hwy SE","Single vehicle incident.","2018 Jan 13 10:23:07 AM","2018 Jan 13 10:25:46 AM","SE","-113.90890743072","50.91370403215","(50.913704032148, -113.908907430718)","1"
"Falconridge Boulevard and 64 Avenue NE","Two vehicle incident.","2018 Jan 13 10:07:18 AM","2018 Jan 13 10:07:51 AM","NE","-113.94734026232","51.11068936621","(51.110689366214, -113.947340262316)","1"
"Northbound Stoney Trail and Country Hills Boulevard NE","Two vehicle incident.","2018 Jan 13 09:56:14 AM","2018 Jan 13 10:06:01 AM","NE","-113.92889956455","51.15434793241","(51.154347932408, -113.928899564551)","1"
"Peigan Trail and Stoney Trail SE","Two vehicle incident.","2018 Jan 13 09:55:14 AM","2018 Jan 13 09:55:51 AM","SE","-113.93011021791","51.01507229331","(51.015072293314, -113.930110217909)","1"
"Mcknight Boulevard and John Laurie Boulevard NW","Two vehicle incident.","2018 Jan 13 09:45:11 AM","2018 Jan 13 09:55:51 AM","NW","-114.08331796146","51.09731625733","(51.09731625733, -114.083317961464)","1"
"107 Avenue at 24 Street SE","Traffic signals are stuck on red. Crews have been dispatched.","2018 Jan 13 08:27:56 AM","2018 Jan 13 08:29:38 AM","SE","-114.00113570171","50.95659685205","(50.956596852054, -114.001135701708)","1"
"Blackfoot Trail and Southland Drive SE","Single vehicle incident.","2018 Jan 13 06:45:18 AM","2018 Jan 13 06:46:03 AM","NW","-114.03933997798","50.96560391855","(50.965603918551, -114.039339977983)","1"
"Southbound Crowchild Trail at 32 Avenue NW","Single vehicle incident.","2018 Jan 13 02:41:05 AM","2018 Jan 13 02:43:04 AM","NW","-114.12337107645","51.08019203449","(51.08019203449, -114.123371076446)","1"
"Southbound Deerfoot Trail at 32 Avenue NE","Single vehicle incident.","2018 Jan 13 02:19:30 AM","2018 Jan 13 02:20:35 AM","NW","-114.03710784459","51.08378885681","(51.083788856813, -114.037107844588)","1"
"Elbow Drive and Sacramento Drive SW","Multi-vehicle incident.","2018 Jan 12 08:19:00 PM","2018 Jan 12 08:19:58 PM","SW","-114.08443982696","50.95309786213","(50.953097862132, -114.084439826959)","1"
"Southland Drive and Bonaventure Drive SE","Two vehicle incident.","2018 Jan 12 06:42:27 PM","2018 Jan 12 06:43:56 PM","SE","-114.06811732581","50.9649601333","(50.964960133298, -114.068117325807)","1"
"20 Street and Kensington Road NW","Two vehicle incident.","2018 Jan 12 06:33:52 PM","2018 Jan 12 06:34:48 PM","NW","-114.10802378265","51.05249682278","(51.052496822777, -114.108023782652)","1"
"James Mckevitt Road and Bridlewood Road SW","Two vehicle incident.","2018 Jan 12 06:16:33 PM","2018 Jan 12 06:17:23 PM","SW","-114.09866516782","50.9028133905","(50.902813390498, -114.098665167824)","1"
"Eastbound Glenmore Trail and 18 Street SE","Single vehicle incident.","2018 Jan 12 06:07:34 PM","2018 Jan 12 06:08:45 PM","SE","-114.02087589168","50.98357020162","(50.983570201621, -114.020875891681)","1"
"Southbound Sarcee Trail and Glenmore Trail SW","Single vehicle incident.","2018 Jan 12 06:04:05 PM","2018 Jan 12 06:04:56 PM","SW","-114.16379212955","51.00940374119","(51.009403741186, -114.163792129551)","1"
"Eastbound Glenmore Trail approaching Deerfoot Trail SE","Two vehicle incident.","2018 Jan 12 06:00:12 PM","2018 Jan 12 06:04:56 PM","SE","-114.03917308623","50.99415667572","(50.994156675722, -114.039173086226)","1"
"Westbound Glenmore Trail at 14 Street SW","Two vehicle incident.","2018 Jan 12 05:41:12 PM","2018 Jan 12 05:50:57 PM","SW","-114.10159581804","50.99638926784","(50.996389267837, -114.101595818037)","1"
